IDUser,Location,Edad,ISBN,Calificacion,Titulo,Autor,Idioma,Generos1,Generos2,Generos3,Generos4,Generos5,Generos6,Generos7,Generos8,Generos9,Generos10,Paginas,FechaPublicacion
229502,""" romania""",27,886774004,9,"""Arrows Fall""","""Mercedes Lackey""","""English""","""Fantasy""","""Fiction""","""Science Fiction Fantasy""","""Young Adult""","""High Fantasy""","""Magic""","""Epic Fantasy""","""Romance""","""Adventure""","""Adult""",319,88
229502,""" romania""",27,886776619,9,"""Storm Warning""","""Mercedes Lackey""","""English""","""Fantasy""","""Fiction""","""Science Fiction Fantasy""","""High Fantasy""","""Magic""","""Epic Fantasy""","""Adult""","""Adventure""","""Young Adult""","""Science Fiction""",428,94
229502,""" romania""",27,345335708,10,"""Castle of Wizardry""","""David Eddings""","""English""","""Fantasy""","""Fiction""","""Epic Fantasy""","""Science Fiction Fantasy""","""High Fantasy""","""Adventure""","""Magic""","""Young Adult""","""Epic""","""Audiobook""",375,84
257204,""" usa""",32,886774004,10,"""Arrows Fall""","""Mercedes Lackey""","""English""","""Fantasy""","""Fiction""","""Science Fiction Fantasy""","""Young Adult""","""High Fantasy""","""Magic""","""Epic Fantasy""","""Romance""","""Adventure""","""Adult""",319,88
257204,""" usa""",32,886776619,9,"""Storm Warning""","""Mercedes Lackey""","""English""","""Fantasy""","""Fiction""","""Science Fiction Fantasy""","""High Fantasy""","""Magic""","""Epic Fantasy""","""Adult""","""Adventure""","""Young Adult""","""Science Fiction""",428,94
257204,""" usa""",32,812513738,10,"""The Shadow Rising""","""Robert Jordan""","""English""","""Fantasy""","""Fiction""","""Epic Fantasy""","""Science Fiction Fantasy""","""High Fantasy""","""Epic""","""Adventure""","""Audiobook""","""Magic""","""Adult""",1007,92
257204,""" usa""",32,553560220,10,"""Illusion""","""Paula Volsky""","""English""","""Fantasy""","""Fiction""","""Historical Fiction""","""Historical Fantasy""","""Historical""","""Science Fiction Fantasy""","""Romance""","""Magic""","""Science Fiction""","""Steampunk""",674,91
257204,""" usa""",32,345335708,10,"""Castle of Wizardry""","""David Eddings""","""English""","""Fantasy""","""Fiction""","""Epic Fantasy""","""Science Fiction Fantasy""","""High Fantasy""","""Adventure""","""Magic""","""Young Adult""","""Epic""","""Audiobook""",375,84
257204,""" usa""",32,380752867,10,"""And Eternity""","""Piers Anthony""","""English""","""Fantasy""","""Fiction""","""Science Fiction""","""Science Fiction Fantasy""","""Urban Fantasy""","""Paranormal""","""Magic""","""Mythology""","""Supernatural""","""Adult""",378,89
257204,""" usa""",32,345367693,10,"""The Diamond Throne""","""David Eddings""","""English""","""Fantasy""","""Fiction""","""Epic Fantasy""","""High Fantasy""","""Science Fiction Fantasy""","""Adventure""","""Magic""","""Young Adult""","""Epic""","""Adult""",435,89
258152,""" canada""",29,812565959,9,"""Shadow of the Hegemon""","""Orson Scott Card""","""English""","""Science Fiction""","""Fiction""","""Science Fiction Fantasy""","""Fantasy""","""Young Adult""","""Audiobook""","""Adventure""","""Novels""","""Space""","""War""",451,0
258152,""" canada""",29,812550757,10,"""Speaker for the Dead""","""Orson Scott Card""","""English""","""Science Fiction""","""Fiction""","""Fantasy""","""Science Fiction Fantasy""","""Young Adult""","""Audiobook""","""Space""","""Aliens""","""Novels""","""Space Opera""",382,86
258152,""" canada""",29,345367693,8,"""The Diamond Throne""","""David Eddings""","""English""","""Fantasy""","""Fiction""","""Epic Fantasy""","""High Fantasy""","""Science Fiction Fantasy""","""Adventure""","""Magic""","""Young Adult""","""Epic""","""Adult""",435,89
265313,""" usa""",33,836220889,10,"""Calvin and Hobbes""","""Bill Watterson, GB Trudeau (Foreword)""","""English""","""Comics""","""Humor""","""Graphic Novels""","""Fiction""","""Childrens""","""Comedy""","""Graphic Novels Comics""","""Comic Book""","""Classics""","""Comic Strips""",128,87
265313,""" usa""",33,425184226,6,"""The Sum of All Fears""","""Tom Clancy""","""""","""Fiction""","""Thriller""","""Espionage""","""Action""","""Military Fiction""","""Suspense""","""Adventure""","""Mystery""","""Mystery Thriller""","""Spy Thriller""",928,91
265313,""" usa""",33,452283442,8,"""The Darwin Awards: Evolution in Action""","""Wendy Northcutt""","""English""","""Humor""","""Nonfiction""","""Comedy""","""Science""","""Short Stories""","""Reference""","""Evolution""","""Death""","""Anthologies""","""Adult""",352,0
270713,""" canada""",27,812565959,10,"""Shadow of the Hegemon""","""Orson Scott Card""","""English""","""Science Fiction""","""Fiction""","""Science Fiction Fantasy""","""Fantasy""","""Young Adult""","""Audiobook""","""Adventure""","""Novels""","""Space""","""War""",451,0
270713,""" canada""",27,812550757,10,"""Speaker for the Dead""","""Orson Scott Card""","""English""","""Science Fiction""","""Fiction""","""Fantasy""","""Science Fiction Fantasy""","""Young Adult""","""Audiobook""","""Space""","""Aliens""","""Novels""","""Space Opera""",382,86
270713,""" canada""",27,765340054,8,"""Shadow Puppets""","""Orson Scott Card""","""English""","""Science Fiction""","""Fiction""","""Science Fiction Fantasy""","""Fantasy""","""Young Adult""","""Audiobook""","""Novels""","""Adventure""","""Space""","""War""",384,2
